year,month,state,deaths,data_source,population,median_household_income,unemployment_rate
1999,1999-07-01,California,12,Official 1999-2020,,,
1999,1999-10-01,California,10,Official 1999-2020,,,
1999,1999-10-01,Florida,10,Official 1999-2020,,,
2000,2000-03-01,Florida,15,Official 1999-2020,,,
2000,2000-06-01,California,11,Official 1999-2020,,,
2000,2000-06-01,Florida,10,Official 1999-2020,,,
2000,2000-07-01,California,10,Official 1999-2020,,,
2000,2000-08-01,North Carolina,10,Official 1999-2020,,,
2000,2000-12-01,Florida,10,Official 1999-2020,,,
2001,2001-02-01,Florida,12,Official 1999-2020,,,
2001,2001-03-01,Ohio,11,Official 1999-2020,,,
2001,2001-04-01,Florida,10,Official 1999-2020,,,
2001,2001-04-01,Texas,15,Official 1999-2020,,,
2001,2001-07-01,Florida,10,Official 1999-2020,,,
2001,2001-08-01,Florida,12,Official 1999-2020,,,
2001,2001-09-01,Florida,12,Official 1999-2020,,,
2001,2001-10-01,Florida,11,Official 1999-2020,,,
2001,2001-11-01,Florida,14,Official 1999-2020,,,
2001,2001-12-01,Florida,10,Official 1999-2020,,,
2002,2002-01-01,California,10,Official 1999-2020,,,
2002,2002-01-01,Florida,17,Official 1999-2020,,,
2002,2002-01-01,Texas,10,Official 1999-2020,,,
2002,2002-02-01,California,11,Official 1999-2020,,,
2002,2002-02-01,Texas,13,Official 1999-2020,,,
2002,2002-03-01,California,12,Official 1999-2020,,,
2002,2002-03-01,Florida,15,Official 1999-2020,,,
2002,2002-03-01,Texas,10,Official 1999-2020,,,
2002,2002-04-01,Florida,10,Official 1999-2020,,,
2002,2002-05-01,California,18,Official 1999-2020,,,
2002,2002-05-01,Florida,14,Official 1999-2020,,,
2002,2002-05-01,Texas,12,Official 1999-2020,,,
2002,2002-06-01,Florida,11,Official 1999-2020,,,
2002,2002-06-01,Texas,10,Official 1999-2020,,,
2002,2002-07-01,California,10,Official 1999-2020,,,
2002,2002-07-01,Florida,14,Official 1999-2020,,,
2002,2002-08-01,California,11,Official 1999-2020,,,
2002,2002-08-01,Florida,10,Official 1999-2020,,,
2002,2002-08-01,Texas,10,Official 1999-2020,,,
2002,2002-09-01,California,10,Official 1999-2020,,,
2002,2002-10-01,Texas,12,Official 1999-2020,,,
2002,2002-11-01,Florida,13,Official 1999-2020,,,
2002,2002-12-01,Florida,13,Official 1999-2020,,,
2003,2003-01-01,California,17,Official 1999-2020,,,
2003,2003-02-01,California,10,Official 1999-2020,,,
2003,2003-02-01,Florida,13,Official 1999-2020,,,
2003,2003-03-01,Florida,18,Official 1999-2020,,,
2003,2003-04-01,California,10,Official 1999-2020,,,
2003,2003-04-01,Florida,12,Official 1999-2020,,,
2003,2003-05-01,California,13,Official 1999-2020,,,
2003,2003-05-01,Florida,13,Official 1999-2020,,,
