Notes,Year,Year Code,Month,Month Code,State,State Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
,1999,1999,"Jul., 1999",1999/07,California,06,Other synthetic narcotics,T40.4,12,Not Applicable,Not Applicable
,1999,1999,"Oct., 1999",1999/10,California,06,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,1999,1999,"Oct., 1999",1999/10,Florida,12,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2000,2000,"Mar., 2000",2000/03,Florida,12,Other synthetic narcotics,T40.4,15,Not Applicable,Not Applicable
,2000,2000,"Jun., 2000",2000/06,California,06,Other synthetic narcotics,T40.4,11,Not Applicable,Not Applicable
,2000,2000,"Jun., 2000",2000/06,Florida,12,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2000,2000,"Jul., 2000",2000/07,California,06,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2000,2000,"Aug., 2000",2000/08,North Carolina,37,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2000,2000,"Dec., 2000",2000/12,Florida,12,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2001,2001,"Feb., 2001",2001/02,Florida,12,Other synthetic narcotics,T40.4,12,Not Applicable,Not Applicable
,2001,2001,"Mar., 2001",2001/03,Ohio,39,Other synthetic narcotics,T40.4,11,Not Applicable,Not Applicable
,2001,2001,"Apr., 2001",2001/04,Florida,12,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2001,2001,"Apr., 2001",2001/04,Texas,48,Other synthetic narcotics,T40.4,15,Not Applicable,Not Applicable
,2001,2001,"Jul., 2001",2001/07,Florida,12,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2001,2001,"Aug., 2001",2001/08,Florida,12,Other synthetic narcotics,T40.4,12,Not Applicable,Not Applicable
,2001,2001,"Sep., 2001",2001/09,Florida,12,Other synthetic narcotics,T40.4,12,Not Applicable,Not Applicable
,2001,2001,"Oct., 2001",2001/10,Florida,12,Other synthetic narcotics,T40.4,11,Not Applicable,Not Applicable
,2001,2001,"Nov., 2001",2001/11,Florida,12,Other synthetic narcotics,T40.4,14,Not Applicable,Not Applicable
