Notes,Year,Year Code,Month,Month Code,State,State Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
,2018,2018,"Jan., 2018",2018/01,Alabama,01,Other synthetic narcotics,T40.4,12,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Arizona,04,Other synthetic narcotics,T40.4,23,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,California,06,Other synthetic narcotics,T40.4,67,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Colorado,08,Other synthetic narcotics,T40.4,16,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Connecticut,09,Other synthetic narcotics,T40.4,41,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Delaware,10,Other synthetic narcotics,T40.4,16,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,District of Columbia,11,Other synthetic narcotics,T40.4,11,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Florida,12,Other synthetic narcotics,T40.4,198,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Georgia,13,Other synthetic narcotics,T40.4,22,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Illinois,17,Other synthetic narcotics,T40.4,129,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Indiana,18,Other synthetic narcotics,T40.4,60,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Kentucky,21,Other synthetic narcotics,T40.4,55,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Louisiana,22,Other synthetic narcotics,T40.4,27,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Maine,23,Other synthetic narcotics,T40.4,18,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Maryland,24,Other synthetic narcotics,T40.4,155,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Massachusetts,25,Other synthetic narcotics,T40.4,176,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Michigan,26,Other synthetic narcotics,T40.4,156,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Minnesota,27,Other synthetic narcotics,T40.4,16,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Missouri,29,Other synthetic narcotics,T40.4,56,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,New Hampshire,33,Other synthetic narcotics,T40.4,27,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,New Jersey,34,Other synthetic narcotics,T40.4,170,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,New York,36,Other synthetic narcotics,T40.4,211,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,North Carolina,37,Other synthetic narcotics,T40.4,113,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Ohio,39,Other synthetic narcotics,T40.4,190,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Oklahoma,40,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Pennsylvania,42,Other synthetic narcotics,T40.4,196,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Rhode Island,44,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,South Carolina,45,Other synthetic narcotics,T40.4,39,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Tennessee,47,Other synthetic narcotics,T40.4,54,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Texas,48,Other synthetic narcotics,T40.4,39,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Virginia,51,Other synthetic narcotics,T40.4,53,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Washington,53,Other synthetic narcotics,T40.4,18,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,West Virginia,54,Other synthetic narcotics,T40.4,38,Not Applicable,Not Applicable
,2018,2018,"Jan., 2018",2018/01,Wisconsin,55,Other synthetic narcotics,T40.4,31,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,Alabama,01,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,Arizona,04,Other synthetic narcotics,T40.4,38,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,California,06,Other synthetic narcotics,T40.4,66,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,Colorado,08,Other synthetic narcotics,T40.4,11,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,Connecticut,09,Other synthetic narcotics,T40.4,56,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,Delaware,10,Other synthetic narcotics,T40.4,23,Not Applicable,Not Applicable
,2018,2018,"Feb., 2018",2018/02,District of Columbia,11,Other synthetic narcotics,T40.4,10,Not Applicable,Not Applicable
