year,state_code,state_name,median_household_income,per_capita_income,unemployment_rate,labor_force_total,employed,unemployed,extracted_at
2011,1,Alabama,42934,23483,9.61,2259707,2027919,215543,2025-10-19 21:49:21.186824
2011,2,Alaska,69014,31944,8.43,384749,336026,30932,2025-10-19 21:49:21.186824
2011,4,Arizona,50752,25784,8.92,3027149,2739077,268363,2025-10-19 21:49:21.186824
2011,5,Arkansas,40149,21833,8.35,1373224,1252276,114100,2025-10-19 21:49:21.186824
2011,6,California,61632,29634,10.12,18618649,16603417,1868871,2025-10-19 21:49:21.186824
2011,8,Colorado,57685,30816,7.59,2710732,2476167,203279,2025-10-19 21:49:21.186824
2011,10,Delaware,59317,29659,7.74,459204,420057,35231,2025-10-19 21:49:21.186824
2011,11,District of Columbia,61835,43993,10.02,337523,300913,33495,2025-10-19 21:49:21.186824
2011,9,Connecticut,69243,37627,8.49,1937088,1764755,163634,2025-10-19 21:49:21.186824
2011,12,Florida,47827,26733,10.3,9264920,8258511,948078,2025-10-19 21:49:21.186824
2011,13,Georgia,49736,25383,9.86,4813601,4288924,469316,2025-10-19 21:49:21.186824
2011,16,Idaho,46890,22788,7.88,763598,699895,59871,2025-10-19 21:49:21.186824
2011,15,Hawaii,67116,29203,6.37,717929,635956,43274,2025-10-19 21:49:21.186824
2011,17,Illinois,56576,29376,9.34,6688329,6043771,622727,2025-10-19 21:49:21.186824
2011,18,Indiana,48393,24497,8.97,3283673,2984502,294244,2025-10-19 21:49:21.186824
2011,19,Iowa,50451,26110,5.51,1647363,1554416,90571,2025-10-19 21:49:21.186824
2011,20,Kansas,50594,26545,6.41,1506400,1393658,95489,2025-10-19 21:49:21.186824
2011,21,Kentucky,42248,23033,8.91,2065869,1865652,182507,2025-10-19 21:49:21.186824
2011,22,Louisiana,44086,23853,8.01,2163213,1974967,172040,2025-10-19 21:49:21.186824
2011,23,Maine,47898,26195,7.13,707618,654300,50266,2025-10-19 21:49:21.186824
2011,24,Maryland,72419,35751,7.26,3166018,2909466,227600,2025-10-19 21:49:21.186824
2011,25,Massachusetts,65981,35051,8.06,3573919,3280503,287476,2025-10-19 21:49:21.186824
2011,26,Michigan,48669,25482,12.25,4913677,4306814,601515,2025-10-19 21:49:21.186824
2011,27,Minnesota,58476,30310,6.87,2939455,2734914,201649,2025-10-19 21:49:21.186824
2011,28,Mississippi,38718,20521,10.02,1358958,1210301,134828,2025-10-19 21:49:21.186824
2011,29,Missouri,47202,25371,8.07,3056406,2790203,244812,2025-10-19 21:49:21.186824
2011,30,Montana,45324,24640,6.4,513196,477082,32646,2025-10-19 21:49:21.186824
2011,31,Nebraska,50695,26113,5.43,1001009,941270,54055,2025-10-19 21:49:21.186824
2011,32,Nevada,55553,27625,10.44,1401953,1246387,145293,2025-10-19 21:49:21.186824
2011,33,New Hampshire,64664,32357,6.29,743342,695066,46668,2025-10-19 21:49:21.186824
2011,34,New Jersey,71180,35678,8.71,4633565,4221383,402751,2025-10-19 21:49:21.186824
2011,35,New Mexico,44631,23537,8.17,974512,886857,78901,2025-10-19 21:49:21.186824
2011,36,New York,56951,31796,8.15,9881672,9051668,803436,2025-10-19 21:49:21.186824
2011,37,North Carolina,46291,25256,9.7,4784984,4241650,455742,2025-10-19 21:49:21.186824
2011,38,North Dakota,49415,27305,3.44,376826,358106,12772,2025-10-19 21:49:21.186824
2011,39,Ohio,48071,25618,9.3,5883960,5326405,545888,2025-10-19 21:49:21.186824
2011,40,Oklahoma,44287,23770,6.49,1823779,1685029,116866,2025-10-19 21:49:21.186824
2011,41,Oregon,49850,26561,9.84,1947759,1753398,191276,2025-10-19 21:49:21.186824
2011,42,Pennsylvania,51651,27824,7.89,6456527,5938507,508654,2025-10-19 21:49:21.186824
2011,44,Rhode Island,55975,29685,8.95,567760,513558,50461,2025-10-19 21:49:21.186824
2011,45,South Carolina,44587,23854,10.21,2262934,1999063,227214,2025-10-19 21:49:21.186824
2011,46,South Dakota,48010,24925,4.82,438039,413552,20958,2025-10-19 21:49:21.186824
2011,47,Tennessee,43989,24197,9.25,3122238,2818005,287097,2025-10-19 21:49:21.186824
2011,48,Texas,50920,25548,7.31,12285284,11288597,890438,2025-10-19 21:49:21.186824
2011,50,Vermont,53422,28376,6.32,351086,328365,22141,2025-10-19 21:49:21.186824
2011,49,Utah,57783,23650,6.53,1345620,1251302,87453,2025-10-19 21:49:21.186824
2011,51,Virginia,63302,33040,6.46,4231576,3843773,265331,2025-10-19 21:49:21.186824
2011,53,Washington,58890,30481,8.36,3474595,3135962,286062,2025-10-19 21:49:21.186824
2011,54,West Virginia,39550,22010,7.54,826469,762595,62164,2025-10-19 21:49:21.186824
2011,55,Wisconsin,52374,27192,7.14,3084116,2859925,219865,2025-10-19 21:49:21.186824
2011,56,Wyoming,56380,28952,4.7,304922,287634,14173,2025-10-19 21:49:21.186824
2011,72,Puerto Rico,19122,10658,17.34,1375100,1135064,238059,2025-10-19 21:49:21.186824
2012,1,Alabama,43160,23587,10.26,2265008,2017887,230778,2025-10-19 21:49:21.901734
2012,2,Alaska,69917,32537,8.42,389890,341115,31369,2025-10-19 21:49:21.901734
2012,4,Arizona,50256,25571,9.77,3049419,2733537,296132,2025-10-19 21:49:21.901734
2012,5,Arkansas,40531,22007,8.56,1377211,1253069,117354,2025-10-19 21:49:21.901734
2012,6,California,61400,29551,11.03,18821426,16614362,2059444,2025-10-19 21:49:21.901734
2012,8,Colorado,58244,31039,8.04,2749557,2498972,218419,2025-10-19 21:49:21.901734
2012,10,Delaware,60119,29733,8.37,464607,422219,38591,2025-10-19 21:49:21.901734
2012,11,District of Columbia,64267,45004,10.51,348010,308602,36228,2025-10-19 21:49:21.901734
2012,9,Connecticut,69519,37807,9.16,1949251,1762707,177706,2025-10-19 21:49:21.901734
2012,12,Florida,47309,26451,11.32,9328439,8220927,1049899,2025-10-19 21:49:21.901734
2012,13,Georgia,49604,25309,10.68,4844814,4277991,511530,2025-10-19 21:49:21.901734
2012,16,Idaho,47015,22581,8.55,767626,698702,65289,2025-10-19 21:49:21.901734
2012,15,Hawaii,67492,29227,6.71,727728,642284,46224,2025-10-19 21:49:21.901734
2012,17,Illinois,56853,29519,9.91,6719976,6035426,663891,2025-10-19 21:49:21.901734
2012,18,Indiana,48374,24558,9.41,3292887,2978847,309363,2025-10-19 21:49:21.901734
2012,19,Iowa,51129,26545,5.56,1651480,1557331,91676,2025-10-19 21:49:21.901734
2012,20,Kansas,51273,26845,6.72,1513938,1395634,100505,2025-10-19 21:49:21.901734
2012,21,Kentucky,42610,23210,9.47,2071789,1859549,194610,2025-10-19 21:49:21.901734
2012,22,Louisiana,44673,24264,8.4,2192304,1993119,182864,2025-10-19 21:49:21.901734
2012,23,Maine,48219,26464,7.44,706163,651335,52318,2025-10-19 21:49:21.901734
2012,24,Maryland,72999,36056,7.78,3199290,2924344,246720,2025-10-19 21:49:21.901734
2012,25,Massachusetts,66658,35485,8.47,3614094,3302990,305515,2025-10-19 21:49:21.901734
2012,26,Michigan,48471,25547,12.59,4889594,4269865,614849,2025-10-19 21:49:21.901734
2012,27,Minnesota,59126,30656,7.03,2955309,2745021,207462,2025-10-19 21:49:21.901734
2012,28,Mississippi,38882,20670,10.62,1361499,1204869,143126,2025-10-19 21:49:21.901734
2012,29,Missouri,47333,25546,8.53,3062560,2781791,259574,2025-10-19 21:49:21.901734
2012,30,Montana,45456,25002,6.92,517348,478254,35541,2025-10-19 21:49:21.901734
2012,31,Nebraska,51381,26523,5.58,1008534,946986,55912,2025-10-19 21:49:21.901734
2012,32,Nevada,54083,27003,11.85,1414374,1237659,166416,2025-10-19 21:49:21.901734
2012,33,New Hampshire,64925,32758,6.58,745330,694736,48926,2025-10-19 21:49:21.901734
2012,34,New Jersey,71637,35928,9.51,4672338,4219677,443328,2025-10-19 21:49:21.901734
2012,35,New Mexico,44886,23749,9.09,979619,882461,88267,2025-10-19 21:49:21.901734
2012,36,New York,57683,32104,8.75,9969586,9073362,869729,2025-10-19 21:49:21.901734
2012,37,North Carolina,46450,25285,10.49,4832418,4246096,497589,2025-10-19 21:49:21.901734
2012,38,North Dakota,51641,28700,3.37,383089,364782,12709,2025-10-19 21:49:21.901734
2012,39,Ohio,48246,25857,9.7,5880517,5300141,569218,2025-10-19 21:49:21.901734
