year,state_code,state_name,population,date_description,extracted_at
2009,1,Alabama,4633360,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,2,Alaska,683142,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,4,Arizona,6324865,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,5,Arkansas,2838143,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,6,California,36308527,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,8,Colorado,4843211,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,9,Connecticut,3494487,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,10,Delaware,863832,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,11,District of Columbia,588433,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,12,Florida,18222420,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,13,Georgia,9497667,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,15,Hawaii,1280241,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,16,Idaho,1492573,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,17,Illinois,12785043,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,18,Indiana,6342469,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,19,Iowa,2978880,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,20,Kansas,2777835,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,21,Kentucky,4252000,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,22,Louisiana,4411546,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,23,Maine,1316380,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,24,Maryland,5637418,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,25,Massachusetts,6511176,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,26,Michigan,10039208,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,27,Minnesota,5188581,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,28,Mississippi,2922240,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,29,Missouri,5904382,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,30,Montana,956257,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,31,Nebraska,1772124,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,32,Nevada,2545763,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,33,New Hampshire,1315419,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,34,New Jersey,8650548,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,35,New Mexico,1964860,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,36,New York,19423896,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,37,North Carolina,9045705,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,38,North Dakota,639725,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,39,Ohio,11511858,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,40,Oklahoma,3610073,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,41,Oregon,3727407,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,42,Pennsylvania,12516596,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,44,Rhode Island,1057381,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,45,South Carolina,4416867,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,46,South Dakota,796513,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,47,Tennessee,6158953,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,48,Texas,23819042,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,49,Utah,2651816,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,50,Vermont,620414,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,51,Virginia,7721730,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,53,Washington,6465755,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,54,West Virginia,1811403,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,55,Wisconsin,5599420,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,56,Wyoming,523949,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2009,72,Puerto Rico,3940109,ACS 5-Year Estimate,2025-10-19 21:49:10.745562
2010,1,Alabama,4712651,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,2,Alaska,691189,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,4,Arizona,6246816,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,5,Arkansas,2872684,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,6,California,36637290,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,8,Colorado,4887061,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,9,Connecticut,3545837,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,10,Delaware,881278,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,11,District of Columbia,584400,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,12,Florida,18511620,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,13,Georgia,9468815,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,15,Hawaii,1333591,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,16,Idaho,1526797,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,17,Illinois,12745359,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,18,Indiana,6417398,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,19,Iowa,3016267,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,20,Kansas,2809329,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,21,Kentucky,4285828,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
2010,22,Louisiana,4429940,ACS 5-Year Estimate,2025-10-19 21:49:11.456877
