year,month,state,rolling_12_month_deaths,data_source,population,median_household_income,unemployment_rate
2015,2015-01-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-01-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-01-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-01-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-01-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-01-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-01-01,Connecticut,96,CDC SODA API,3593222,70331,8.82
2015,2015-01-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-01-01,District of Columbia,15,CDC SODA API,647484,70848,9.58
2015,2015-01-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-01-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-01-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-01-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-01-01,Illinois,0,CDC SODA API,12873761,57574,9.09
2015,2015-01-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-01-01,Iowa,30,CDC SODA API,3093526,53183,4.94
2015,2015-01-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-01-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-01-01,Maine,59,CDC SODA API,1329100,49331,6.82
2015,2015-01-01,Maryland,237,CDC SODA API,5930538,74551,7.4
2015,2015-01-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-01-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-01-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-01-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-01-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-01-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-01-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-01-01,Nevada,31,CDC SODA API,2798636,51847,10.49
2015,2015-01-01,New Hampshire,171,CDC SODA API,1324201,66779,5.76
2015,2015-01-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-01-01,New Mexico,67,CDC SODA API,2084117,44963,9.22
2015,2015-01-01,New York,248,CDC SODA API,19673174,59269,8.22
2015,2015-01-01,New York City,39,CDC SODA API,,,
2015,2015-01-01,North Carolina,209,CDC SODA API,9845333,46868,9.39
2015,2015-01-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-01-01,Ohio,0,CDC SODA API,11575977,49429,8.17
2015,2015-01-01,Oklahoma,72,CDC SODA API,3849733,46879,6.32
2015,2015-01-01,Oregon,32,CDC SODA API,3939233,51243,9.32
2015,2015-01-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-01-01,Rhode Island,90,CDC SODA API,1053661,56852,8.55
2015,2015-01-01,South Carolina,110,CDC SODA API,4777576,45483,9.51
2015,2015-01-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-01-01,Tennessee,0,CDC SODA API,6499615,45219,8.44
2015,2015-01-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-01-01,United States,5766,CDC SODA API,,,
2015,2015-01-01,Utah,68,CDC SODA API,2903379,60727,5.77
2015,2015-01-01,Vermont,20,CDC SODA API,626604,55176,5.48
2015,2015-01-01,Virginia,182,CDC SODA API,8256630,65015,6.47
2015,2015-01-01,Washington,67,CDC SODA API,6985464,61062,7.85
2015,2015-01-01,West Virginia,128,CDC SODA API,1851420,41751,7.78
2015,2015-01-01,Wisconsin,0,CDC SODA API,5742117,53357,6.3
2015,2015-01-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-02-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-02-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-02-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-02-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-02-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-02-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-02-01,Connecticut,97,CDC SODA API,3593222,70331,8.82
2015,2015-02-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-02-01,District of Columbia,17,CDC SODA API,647484,70848,9.58
2015,2015-02-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-02-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-02-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-02-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-02-01,Illinois,0,CDC SODA API,12873761,57574,9.09
2015,2015-02-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-02-01,Iowa,32,CDC SODA API,3093526,53183,4.94
2015,2015-02-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-02-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-02-01,Maine,63,CDC SODA API,1329100,49331,6.82
2015,2015-02-01,Maryland,259,CDC SODA API,5930538,74551,7.4
2015,2015-02-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-02-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-02-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-02-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-02-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-02-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-02-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-02-01,Nevada,30,CDC SODA API,2798636,51847,10.49
2015,2015-02-01,New Hampshire,186,CDC SODA API,1324201,66779,5.76
2015,2015-02-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-02-01,New Mexico,61,CDC SODA API,2084117,44963,9.22
2015,2015-02-01,New York,268,CDC SODA API,19673174,59269,8.22
2015,2015-02-01,New York City,38,CDC SODA API,,,
2015,2015-02-01,North Carolina,228,CDC SODA API,9845333,46868,9.39
2015,2015-02-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-02-01,Ohio,0,CDC SODA API,11575977,49429,8.17
2015,2015-02-01,Oklahoma,78,CDC SODA API,3849733,46879,6.32
2015,2015-02-01,Oregon,29,CDC SODA API,3939233,51243,9.32
2015,2015-02-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-02-01,Rhode Island,92,CDC SODA API,1053661,56852,8.55
